                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6045,                 6.6984,                0.68449,                 3.4014,                 2.2012,                0.33551,                0.44092,                0.18937,                0.08495,                 0.1855,                0.00665,                0.00067,                  8e-05,                  2.249,                 7.2313,                0.67553,                 10.158,                 2.0753,             0.00021579,             0.00021579,             0.00021579
                      2,                 2.1639,                 5.6678,                0.61478,                 2.0514,                 1.7807,                 0.2701,                0.64686,                0.33936,                 0.1404,                0.06903,                0.24554,                0.07636,                0.02305,                 2.2189,                 5.8788,                0.56206,                  8.393,                 2.0751,             0.00042945,             0.00042945,             0.00042945
                      3,                  2.036,                 4.9994,                 0.5625,                 1.7867,                 1.7096,                0.34838,                0.58508,                0.38609,                0.17244,                0.12267,                0.27355,                0.11508,                0.04529,                 2.1022,                 5.1909,                0.48258,                 2.6187,                 1.9885,             0.00063431,             0.00063431,             0.00063431
                      4,                 1.9607,                 4.6741,                0.51021,                 1.7058,                 1.6501,                0.37064,                0.59676,                0.44388,                0.19212,                0.14767,                0.29641,                0.13692,                0.06844,                 2.0701,                 4.9037,                0.43089,                 1.8573,                 1.8722,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.9484,                 4.5858,                0.46212,                 1.6831,                 1.6347,                 0.4139,                0.59326,                0.47126,                0.20117,                0.20097,                0.33987,                0.17598,                0.08913,                 2.0804,                 4.7195,                0.37415,                 1.8129,                 1.9253,             0.00062738,             0.00062738,             0.00062738
                      6,                 1.9331,                 4.4098,                0.42647,                  1.647,                  1.627,                0.41084,                0.64512,                0.46382,                0.20193,                0.18787,                0.35979,                0.17212,                 0.0859,                 2.0412,                 4.5934,                 0.3617,                 1.7208,                 1.8453,             0.00061417,             0.00061417,             0.00061417
                      7,                 1.8736,                 4.2004,                0.40207,                 1.5963,                 1.5803,                0.43546,                0.66148,                0.49923,                0.22036,                0.20495,                0.35605,                0.18783,                0.10642,                  2.018,                 4.5802,                0.33812,                 1.6702,                 1.8237,             0.00060097,             0.00060097,             0.00060097
                      8,                  1.821,                 4.1053,                0.37657,                 1.5668,                 1.5589,                 0.4262,                0.65429,                0.51898,                0.23086,                0.20405,                0.39675,                0.20276,                0.10634,                 2.0191,                 4.4558,                 0.3096,                 1.6253,                 1.8328,             0.00058776,             0.00058776,             0.00058776
                      9,                 1.8168,                 4.0707,                0.35806,                 1.4999,                  1.521,                0.43093,                0.67429,                0.51933,                 0.2252,                0.21421,                0.40873,                0.21106,                0.11169,                 2.0021,                 4.4565,                0.29139,                 1.6663,                 1.8154,             0.00057455,             0.00057455,             0.00057455
                     10,                 1.8036,                  4.032,                0.33721,                  1.503,                 1.5283,                 0.4312,                0.65807,                0.50509,                0.22495,                0.22563,                0.37872,                0.20302,                0.10721,                 1.9947,                 4.3922,                0.26918,                 1.6128,                  1.825,             0.00056135,             0.00056135,             0.00056135
                     11,                 1.7879,                 3.9827,                0.32272,                 1.4663,                 1.5138,                0.45766,                0.69194,                 0.5158,                0.22313,                0.22422,                0.39896,                0.20505,                0.11224,                 2.0375,                 4.3686,                0.24833,                  1.622,                 1.8515,             0.00054814,             0.00054814,             0.00054814
                     12,                 1.7718,                 3.9336,                0.30482,                 1.4509,                 1.5051,                0.45534,                0.68687,                0.49199,                0.22429,                0.22409,                0.42496,                 0.1977,                0.10354,                 1.9784,                 4.3482,                0.23234,                 1.6417,                 1.8096,             0.00053493,             0.00053493,             0.00053493
                     13,                 1.7749,                 3.8441,                 0.2953,                 1.4188,                 1.4971,                 0.4564,                 0.6556,                0.49511,                0.22957,                0.21265,                0.38082,                0.18812,                0.09556,                 1.9467,                 4.3553,                0.22333,                 1.6206,                 1.7786,             0.00052173,             0.00052173,             0.00052173
                     14,                 1.7478,                 3.7866,                0.28748,                 1.4108,                 1.4878,                0.45623,                0.69958,                0.53829,                0.24358,                0.22578,                  0.401,                0.20656,                0.11001,                 1.9434,                 4.3006,                0.21443,                 1.5258,                 1.7813,             0.00050852,             0.00050852,             0.00050852
