                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6114,                 6.7673,                 0.6882,                  3.367,                 2.1686,                0.35386,                0.49083,                0.24562,                0.09921,                 0.1832,                0.00887,                0.00051,                  6e-05,                 2.3021,                 7.2248,                0.67961,                 12.845,                 2.1041,             0.00021579,             0.00021579,             0.00021579
                      2,                 2.1574,                 5.7351,                0.61579,                 2.0389,                 1.7915,                0.26668,                0.62643,                0.31597,                0.14068,                0.08416,                0.14628,                0.06662,                0.01934,                 2.1213,                   5.85,                0.56609,                 7.7992,                 1.9972,             0.00042945,             0.00042945,             0.00042945
                      3,                 2.0497,                 4.9724,                 0.5588,                 1.8377,                 1.7193,                0.38444,                0.57017,                 0.4174,                0.16972,                0.15076,                0.26348,                0.13379,                0.06157,                 2.1731,                 5.1741,                0.49683,                 2.4858,                 2.0401,             0.00063431,             0.00063431,             0.00063431
                      4,                 1.9708,                  4.659,                0.51147,                 1.7125,                 1.6406,                0.43704,                0.58908,                0.44007,                0.19021,                0.17684,                0.30447,                0.14826,                0.06431,                  2.016,                 4.9163,                0.41596,                 1.8661,                 1.8381,             0.00062738,             0.00062738,             0.00062738
                      5,                  1.941,                 4.5153,                 0.4573,                 1.6634,                 1.6002,                0.36899,                0.58548,                 0.4479,                0.19993,                0.14985,                0.30771,                0.13868,                0.06614,                 1.9964,                 4.8909,                0.34901,                 1.8215,                 1.8485,             0.00061417,             0.00061417,             0.00061417
                      6,                  1.923,                 4.3866,                 0.4189,                 1.6322,                 1.6336,                0.38691,                0.63507,                0.46644,                0.20497,                 0.1839,                0.33268,                0.16339,                0.07951,                 2.0017,                 4.7076,                0.33792,                 1.7698,                 1.8531,             0.00060097,             0.00060097,             0.00060097
                      7,                 1.8654,                 4.2032,                0.39333,                 1.5694,                 1.5614,                0.43344,                0.66534,                0.51718,                0.22926,                0.19607,                0.35665,                0.18401,                0.10494,                 1.9431,                  4.615,                0.31006,                 1.6602,                 1.7934,             0.00058776,             0.00058776,             0.00058776
                      8,                 1.8498,                 4.1731,                 0.3665,                 1.5634,                 1.5696,                0.40127,                 0.6264,                0.48573,                0.21704,                0.20954,                0.36163,                0.19297,                0.09983,                 1.9585,                 4.5623,                 0.2917,                 1.6806,                  1.785,             0.00057455,             0.00057455,             0.00057455
                      9,                 1.8006,                 4.0515,                 0.3479,                 1.5443,                 1.5507,                0.43283,                0.63455,                0.50902,                0.22607,                0.21459,                0.34743,                0.20019,                0.10109,                 1.9408,                 4.4695,                0.27828,                 1.6686,                 1.7744,             0.00056135,             0.00056135,             0.00056135
                     10,                 1.8024,                 3.9688,                0.32608,                 1.4962,                 1.5347,                0.44583,                0.66337,                0.50389,                0.22057,                0.23583,                0.37945,                0.20985,                 0.1109,                 1.9711,                 4.4321,                0.26246,                 1.6359,                 1.8011,             0.00054814,             0.00054814,             0.00054814
